thread_count,lock_percentage,time
1,0,3380448
1,1,3615778
1,2,4078526
1,3,3377626
1,4,3544709
1,5,3331366
1,6,3638020
1,7,3465846
1,8,3512294
1,9,3508999
1,10,3893928
1,11,3487651
1,12,3424869
1,13,3446469
1,14,3318240
1,15,3480743
1,16,3397308
1,17,3389788
1,18,3478223
1,19,3532041
1,20,3456530
1,21,3378051
1,22,3526533
1,23,3546118
1,24,3450640
1,25,3462295
1,26,3435499
1,27,3500138
1,28,3597985
1,29,3488427
1,30,3511050
1,31,3402272
1,32,3383166
1,33,3464764
1,34,3490383
1,35,3509294
1,36,3467156
1,37,3525350
1,38,3394105
1,39,3578663
1,40,3360877
1,41,3560153
1,42,3429235
1,43,3603742
1,44,3490563
1,45,3500825
1,46,3783729
1,47,3577560
1,48,3600140
1,49,3511960
1,50,3822282
1,51,3564307
1,52,3519113
1,53,3483812
1,54,3552795
1,55,3495918
1,56,3599763
1,57,3613625
1,58,3582589
1,59,3549868
1,60,3508345
1,61,3609654
1,62,3601606
1,63,3500743
1,64,3680203
1,65,3700957
1,66,3757674
1,67,3554868
1,68,3682634
1,69,3505743
1,70,3647456
1,71,3562004
1,72,3522749
1,73,3424995
1,74,3547186
1,75,3526831
1,76,3644164
1,77,3573303
1,78,3555250
1,79,3610618
1,80,3577405
1,81,3657135
1,82,3594095
1,83,3578055
1,84,3685705
1,85,3653791
1,86,3629615
1,87,3610084
1,88,3537223
1,89,3558293
1,90,3598081
1,91,3693068
1,92,3795452
1,93,3618963
1,94,3659094
1,95,3652951
1,96,3669219
1,97,3689854
1,98,3642685
1,99,3721222
1,100,3250679
2,0,1904713
2,1,1900308
2,2,1896222
2,3,1902279
2,4,1907725
2,5,1915620
2,6,1898381
2,7,1906269
2,8,1905535
2,9,1906405
2,10,1912872
2,11,1919867
2,12,1910063
2,13,1920548
2,14,1930942
2,15,1904841
2,16,1931108
2,17,1932864
2,18,1932266
2,19,1942857
2,20,1936284
2,21,1933072
2,22,1954125
2,23,1956207
2,24,1957468
2,25,1951001
2,26,1981778
2,27,1958207
2,28,1985396
2,29,1974673
2,30,1976345
2,31,2025292
2,32,2003036
2,33,2007563
2,34,2016691
2,35,2017718
2,36,2033560
2,37,2055197
2,38,2100686
2,39,2056419
2,40,2076646
2,41,2078349
2,42,2084829
2,43,2089862
2,44,2109674
2,45,2121868
2,46,2176212
2,47,2152499
2,48,2186132
2,49,2169774
2,50,2201800
2,51,2210804
2,52,2230300
2,53,2236689
2,54,2297668
2,55,2299468
2,56,2335200
2,57,2321160
2,58,2374464
2,59,2434067
2,60,2403869
2,61,2460877
2,62,2449653
2,63,2487719
2,64,2514561
2,65,2539899
2,66,2527560
2,67,3030800
2,68,2590707
2,69,2593283
2,70,2623871
2,71,2670101
2,72,2672913
2,73,2698915
2,74,2729772
2,75,2754653
2,76,2799546
2,77,2791471
2,78,2817284
2,79,3394669
2,80,3380616
2,81,2892107
2,82,2935300
2,83,2970163
2,84,2986810
2,85,3003131
2,86,3072652
2,87,3581072
2,88,3554240
2,89,3563255
2,90,3159582
2,91,3191353
2,92,3682020
2,93,3744083
2,94,3292721
2,95,3315441
2,96,3357243
2,97,3394717
2,98,3419782
2,99,3430120
2,100,4070924
3,0,1901636
3,1,1682438
3,2,1605817
3,3,1647060
3,4,1621307
3,5,1698144
3,6,1693579
3,7,1727528
3,8,1723399
3,9,1659950
3,10,1687026
3,11,1681302
3,12,1698119
3,13,1691117
3,14,1675580
3,15,1724753
3,16,1726841
3,17,1708495
3,18,1977038
3,19,1895426
3,20,1739572
3,21,1758008
3,22,1704075
3,23,1687623
3,24,1727434
3,25,1742925
3,26,1766928
3,27,1733610
3,28,1723529
3,29,1732412
3,30,1759296
3,31,1753756
3,32,1805381
3,33,1792360
3,34,1822458
3,35,1797643
3,36,1834014
3,37,1781267
3,38,1780924
3,39,1792334
3,40,1833375
3,41,1924729
3,42,1867090
3,43,1859803
3,44,1870649
3,45,1868704
3,46,1845803
3,47,1863725
3,48,1826552
3,49,1914608
3,50,1893437
3,51,1928638
3,52,1925069
3,53,1957540
3,54,1982585
3,55,2029077
3,56,1979571
3,57,1962527
3,58,1995155
3,59,2028994
3,60,2045847
3,61,2019803
3,62,2071872
3,63,2114889
3,64,2136361
3,65,2174866
3,66,2169242
3,67,2171205
3,68,2277152
3,69,2287707
3,70,2295403
3,71,2352618
3,72,2384261
3,73,2422029
3,74,2444126
3,75,2497519
3,76,2498576
3,77,2609292
3,78,2633421
3,79,2684760
3,80,2679398
3,81,2724105
3,82,2758536
3,83,2768198
3,84,2818856
3,85,2905070
3,86,2944522
3,87,2957825
3,88,3002057
3,89,3026797
3,90,3073071
3,91,3140909
3,92,3177833
3,93,3197415
3,94,3235220
3,95,3286481
3,96,3350493
3,97,3389822
3,98,3560785
3,99,4037649
3,100,4009440
4,0,1637563
4,1,1537905
4,2,1499960
4,3,1480655
4,4,1510175
4,5,1515489
4,6,1524848
4,7,1551575
4,8,1517416
4,9,1518421
4,10,1520172
4,11,1519117
4,12,1549157
4,13,1518569
4,14,1520851
4,15,1546503
4,16,1525114
4,17,1557057
4,18,1531488
4,19,1535392
4,20,1540683
4,21,1565288
4,22,1555353
4,23,1595555
4,24,1548123
4,25,1562217
4,26,1579973
4,27,1563134
4,28,1588539
4,29,1566964
4,30,1591739
4,31,1571598
4,32,1614237
4,33,1588495
4,34,1588794
4,35,1600020
4,36,1617513
4,37,1611541
4,38,1608470
4,39,1600882
4,40,1648980
4,41,1608060
4,42,1635744
4,43,1637210
4,44,1621949
4,45,1644607
4,46,1653308
4,47,1659013
4,48,1638439
4,49,1658999
4,50,1727790
4,51,1691165
4,52,1696421
4,53,1693018
4,54,1694551
4,55,1694464
4,56,1718370
4,57,1717924
4,58,1756749
4,59,1753268
4,60,1770168
4,61,1776359
4,62,1753264
4,63,1817213
4,64,1832651
4,65,1843450
4,66,1838143
4,67,1880543
4,68,1913002
4,69,1927451
4,70,1976156
4,71,1960403
4,72,2025861
4,73,2053531
4,74,2089632
4,75,2112453
4,76,2157537
4,77,2222319
4,78,2260255
4,79,2322664
4,80,2380293
4,81,2429084
4,82,2517320
4,83,2522611
4,84,2576721
4,85,2682749
4,86,2691251
4,87,2766608
4,88,2817695
4,89,2899724
4,90,2955690
4,91,2995180
4,92,3084336
4,93,3150253
4,94,3195561
4,95,3270573
4,96,3305803
4,97,3399128
4,98,3459055
4,99,3551972
4,100,3633830
5,0,1434180
5,1,1428214
5,2,1438127
5,3,1430364
5,4,1409234
5,5,1436176
5,6,1434907
5,7,1450347
5,8,1422237
5,9,1440359
5,10,1448504
5,11,1463636
5,12,1459598
5,13,1477661
5,14,1451450
5,15,1464041
5,16,1438974
5,17,1445713
5,18,1450780
5,19,1451890
5,20,1462705
5,21,1483764
5,22,1459580
5,23,1468677
5,24,1497342
5,25,1491997
5,26,1468236
5,27,1480210
5,28,1499057
5,29,1474620
5,30,1495856
5,31,1499804
5,32,1488088
5,33,1470626
5,34,1508080
5,35,1519352
5,36,1494175
5,37,1522363
5,38,1506524
5,39,1498971
5,40,1517465
5,41,1505312
5,42,1534612
5,43,1542683
5,44,1521067
5,45,1535247
5,46,1541814
5,47,1548606
5,48,1548472
5,49,1536786
5,50,1524585
5,51,1558074
5,52,1567871
5,53,1559412
5,54,1591058
5,55,1580442
5,56,1592224
5,57,1593374
5,58,1615220
5,59,1600878
5,60,1629037
5,61,1632984
5,62,1610401
5,63,1615118
5,64,1656096
5,65,1658466
5,66,1655597
5,67,1686627
5,68,1705444
5,69,1741024
5,70,1741398
5,71,1754426
5,72,1775561
5,73,1833343
5,74,1818007
5,75,1844780
5,76,1878774
5,77,1937688
5,78,1964940
5,79,2022931
5,80,2133558
5,81,2141117
5,82,2198156
5,83,2287260
5,84,2375305
5,85,2423421
5,86,2518827
5,87,2593485
5,88,2664611
5,89,2769545
5,90,2803472
5,91,2877998
5,92,2970659
5,93,3054167
5,94,3091404
5,95,3186396
5,96,3279683
5,97,3381956
5,98,3442934
5,99,3538522
5,100,3625681
6,0,1286823
6,1,1267283
6,2,1286116
6,3,1279393
6,4,1273651
6,5,1277562
6,6,1266736
6,7,1265937
6,8,1291491
6,9,1281560
6,10,1299507
6,11,1316336
6,12,1312559
6,13,1297172
6,14,1308222
6,15,1297758
6,16,1318112
6,17,1321626
6,18,1313796
6,19,1321473
6,20,1338780
6,21,1328466
6,22,1322369
6,23,1342325
6,24,1347691
6,25,1333899
6,26,1327747
6,27,1329096
6,28,1340462
6,29,1343094
6,30,1349320
6,31,1346459
6,32,1362872
6,33,1359604
6,34,1354340
6,35,1347218
6,36,1351976
6,37,1374194
6,38,1365500
6,39,1359370
6,40,1383259
6,41,1388706
6,42,1382341
6,43,1376197
6,44,1393000
6,45,1397696
6,46,1404529
6,47,1398808
6,48,1421088
6,49,1411000
6,50,1426068
6,51,1425115
6,52,1418294
6,53,1427561
6,54,1428269
6,55,1414403
6,56,1445975
6,57,1453340
6,58,1454471
6,59,1467947
6,60,1481786
6,61,1474417
6,62,1487319
6,63,1456111
6,64,1502013
6,65,1515401
6,66,1525457
6,67,1512891
6,68,1551566
6,69,1564642
6,70,1536139
6,71,1610374
6,72,1620158
6,73,1632969
6,74,1658929
6,75,1657634
6,76,1713631
6,77,1741519
6,78,1795641
6,79,1826191
6,80,1890466
6,81,1930155
6,82,1998630
6,83,2067179
6,84,2148464
6,85,2233681
6,86,2338705
6,87,2370673
6,88,2505978
6,89,2580971
6,90,2686375
6,91,2781568
6,92,2859419
6,93,2958842
6,94,3042366
6,95,3155149
6,96,3228323
6,97,3325480
6,98,3426927
6,99,3512889
6,100,3649415
7,0,1203757
7,1,1205388
7,2,1160262
7,3,1157928
7,4,1159692
7,5,1180100
7,6,1478456
7,7,1199518
7,8,1204032
7,9,1184367
7,10,1200146
7,11,1216695
7,12,1184593
7,13,1217975
7,14,1217387
7,15,1214529
7,16,1315827
7,17,1268651
7,18,1271497
7,19,1271114
7,20,1246337
7,21,1490992
7,22,1440242
7,23,1275094
7,24,1234803
7,25,1250004
7,26,1307758
7,27,1554223
7,28,1466147
7,29,1358804
7,30,1282168
7,31,1293372
7,32,1504187
7,33,1428205
7,34,1395114
7,35,1265701
7,36,1541786
7,37,1287889
7,38,1557273
7,39,1540427
7,40,1303763
7,41,1286252
7,42,1307395
7,43,1292376
7,44,1291554
7,45,1298312
7,46,1305699
7,47,1310003
7,48,1322661
7,49,1324223
7,50,1324967
7,51,1350630
7,52,1334626
7,53,1329139
7,54,1348316
7,55,1363474
7,56,1360245
7,57,1374492
7,58,1370920
7,59,1357169
7,60,1378920
7,61,1388534
7,62,1378515
7,63,1374691
7,64,1429428
7,65,1419424
7,66,1448389
7,67,1464411
7,68,1454802
7,69,1483753
7,70,1478950
7,71,1514464
7,72,1525467
7,73,1514191
7,74,1555410
7,75,1594190
7,76,1654968
7,77,1611231
7,78,1648624
7,79,1667940
7,80,1707407
7,81,1756132
7,82,1828552
7,83,1853769
7,84,1925070
7,85,2029603
7,86,2108277
7,87,2198737
7,88,2333415
7,89,2403236
7,90,2573719
7,91,2663037
7,92,2760793
7,93,2863914
7,94,2969679
7,95,3076384
7,96,3196680
7,97,3305289
7,98,3447881
7,99,3527802
7,100,3679238
8,0,1135172
8,1,1150170
8,2,1137720
8,3,1139440
8,4,1118895
8,5,1126367
8,6,1132494
8,7,1145476
8,8,1142862
8,9,1137905
8,10,1154051
8,11,1159930
8,12,1165523
8,13,1370969
8,14,1441944
8,15,1447460
8,16,1174675
8,17,1182433
8,18,1181820
8,19,1194148
8,20,1173049
8,21,1189973
8,22,1239351
8,23,1227401
8,24,1217516
8,25,1205518
8,26,1195641
8,27,1209753
8,28,1202974
8,29,1193441
8,30,1213959
8,31,1222062
8,32,1212981
8,33,1189314
8,34,1205217
8,35,1204535
8,36,1192941
8,37,1213936
8,38,1220377
8,39,1220928
8,40,1227728
8,41,1220062
8,42,1234125
8,43,1222851
8,44,1244689
8,45,1220400
8,46,1244378
8,47,1241932
8,48,1261824
8,49,1256629
8,50,1290879
8,51,1253071
8,52,1261867
8,53,1271575
8,54,1298118
8,55,1283785
8,56,1278846
8,57,1277705
8,58,1295352
8,59,1294967
8,60,1321100
8,61,1292498
8,62,1314202
8,63,1322505
8,64,1324385
8,65,1326637
8,66,1355686
8,67,1348698
8,68,1362721
8,69,1380437
8,70,1404437
8,71,1415305
8,72,1424291
8,73,1440485
8,74,1484760
8,75,1490441
8,76,1472764
8,77,1534179
8,78,1540859
8,79,1543701
8,80,1601231
8,81,1619355
8,82,1668642
8,83,1755009
8,84,1787193
8,85,1824884
8,86,1919497
8,87,2025356
8,88,2133729
8,89,2258048
8,90,2385930
8,91,2515225
8,92,2637992
8,93,2760653
8,94,2883929
8,95,3017781
8,96,3144159
8,97,3303124
8,98,3404138
8,99,3564767
8,100,3742261
